,Common_name,Latin_name,Nonindigenous,Introduced_from_oversea,Comments
166,STONECAT,Noturus flavus,n,n,
167,STRIPED_SHINER,Luxilus chrysocephalus,n,n,
168,STRIPETAIL_DARTER,Etheostoma kennicotti,n,n,
169,SUCKERMOUTH_MINNOW,Phenacobius mirabilis,n,n,
170,TADPOLE_MADTOM,Noturus gyrinus,n,n,
171,THREADFIN_SHAD,"	Dorosoma petenense",y,n,
172,TROUT_PERCH,Percopsis omiscomaycus,n,n,
173,TUBENOSE_GOBY,Proterorhinus semilunaris,y,y,
174,WALLEYE,Sander vitreus,n,n,
175,WARMOUTH,Lepomis gulosis,n,n,
176,WEED_SHINER,Notropis texanus,n,n,
177,WESTERN_BLACKNOSE_DACE,Rhinichthys obtusus,n,n,
178,WESTERN_MOSQUITOFISH,Gambusia affinis,y,n,
179,WESTERN_SAND_DARTER,Ammocrypta clara,n,n,
180,WESTERN_SILVERY_MINNOW,Hybognathus argyritis,n,n,
181,WHITE_BASS,Morone chrysops,n,n,
182,WHITE_CRAPPIE,Pomoxis annularis,n,n,
183,WHITE_PERCH,Morone americana,y,n,
184,WHITE_SUCKER,Catostomus commersonii,n,n,
185,YELLOW_BASS,Morone mississippiensis,n,n,
186,YELLOW_BULLHEAD,Ameiurus natalis,n,n,
187,YELLOW_PERCH,Perca flavescens,n,n,
