"","n_rep","mc_capacity","n_species","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","K_type","K0","sd_env","spatial_env_cor","phi","min_niche_width","max_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"85",5,112365.232888366,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.9285222222222,9.07147777777778,20
"86",6,98265.5453781644,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.64632222222222,13.6786777777778,23.325
"87",7,77063.4162241909,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.68617777777778,11.5178222222222,19.204
"88",8,95304.5887773418,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.3853,16.6147,27
"89",9,94444.2806220515,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.07312222222222,13.6768777777778,22.75
"90",10,114696.324300494,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.2784666666667,15.7215333333333,27
"91",11,117878.411762251,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.67964444444444,4.32035555555556,12
"92",12,100940.191439886,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.0786444444444,8.92135555555556,19
"93",13,93539.531572499,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.1341111111111,18.8658888888889,29
"94",14,112556.438524944,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.63966666666667,11.3603333333333,21
"95",15,78274.2100586999,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.9107,15.0893,26
"96",16,115628.31067421,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.4948666666667,10.6751333333333,21.17
"97",17,93177.1993280385,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.40682222222222,11.4511777777778,20.858
"98",18,117839.456260739,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.89231111111111,11.1596888888889,21.052
"99",19,104530.416517615,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.42647777777778,17.4875222222222,26.914
"100",20,136807.375431899,30,90,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.80698888888889,4.19301111111111,14
"101",1,103616.716424874,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.67752,17.32248,26
"102",2,109693.574085953,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.44352,16.55648,26
"103",3,85856.8673189023,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.59092,14.08308,24.674
"104",4,96480.876545419,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.32234,14.67766,25
"105",5,99213.4472878597,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.95745,15.04255,25
"106",6,149214.468929555,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.65611,10.76989,19.426
"107",7,156663.30961057,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.54826,7.81774,15.366
"108",8,137059.084072167,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.78756,10.21244,21
"109",9,149588.561354703,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.09993,15.91707,23.017
"110",10,159591.201933487,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.31238,11.68762,22
"111",11,180411.714877558,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.93401,17.06599,27
"112",12,140992.226288892,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.42282,12.91818,23.341
"113",13,96959.4821891332,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.10515,10.89485,18
"114",14,125072.876833177,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.14311,8.85689,18
"115",15,104215.488849851,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.74859,13.76341,25.512
"116",16,196942.061031219,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,7.41136,17.58864,25
"117",17,167013.29836883,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.61038,13.93262,25.543
"118",18,113040.239827453,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.11115,12.88885,22
"119",19,133880.030494028,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.90511,15.09489,26
