"","n_rep","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","sd_env","phi","sd_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"72",72,148,0.601968851312995,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.6738851351351,14.4051148648649,29.079
"73",73,128,0.628642549738288,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,16.7550078125,10.5229921875,27.278
"74",74,128,0.336092292889953,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,11.242265625,14.163734375,25.406
"75",75,72,0.806756890006363,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.4218194444444,13.5781805555556,29
"76",76,93,0.367016906477511,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.0950430107527,14.9049569892473,29
"77",77,76,0.8377256879583,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.8666052631579,12.2843947368421,28.151
"78",78,124,0.56933567058295,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.1947822580645,13.8052177419355,27
"79",79,150,0.887241677567363,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,17.0510866666667,11.9489133333333,29
"80",80,115,0.671994715742767,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.0111043478261,11.9888956521739,26
"81",81,121,0.679291867278516,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.1462561983471,10.3447438016529,25.491
"82",82,66,0.528079254738987,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.4254696969697,13.5745303030303,27
"83",83,146,0.350261364690959,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.9012876712329,12.0987123287671,27
"84",84,92,0.725892862863839,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.5402391304348,10.3347608695652,25.875
"85",85,74,0.304640504717827,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.8491216216216,11.9268783783784,27.776
"86",86,109,0.150496513582766,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,11.1387706422018,13.9002293577982,25.039
"87",87,55,0.823598885908723,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.5319454545455,8.83005454545454,22.362
"88",88,130,0.345824399590492,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.7334461538462,13.2665538461538,28
"89",89,88,0.203199459053576,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,11.9074090909091,14.2425909090909,26.15
"90",90,63,0.266489378921688,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,8.19314285714286,11.8068571428571,20
"91",91,56,0.632667009904981,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.2116785714286,11.0363214285714,23.248
"92",92,85,0.290140676125884,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.2274941176471,12.9175058823529,27.145
"93",93,134,0.799778490141034,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,14.4073432835821,11.5926567164179,26
"94",94,70,0.31179695893079,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,10.8519857142857,13.2740142857143,24.126
"95",95,60,0.703611802309752,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,12.4809166666667,13.7400833333333,26.221
