SiteID,VisitID,Year,OTU,Abundance,Sample_area,Source,Lon,Lat,n_obs,Presence
st00668,st00668-1999,1999,ONCORHYNCHUS_MASOU_MASOU,22,NA,hfish_HSGK,140.567,42.756,1,1
st00668,st00668-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,1,NA,hfish_HSGK,140.567,42.756,1,1
st00669,st00669-1992,1992,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,9,NA,hfish_HSGK,140.568,41.989,1,1
st00670,st00670-1999,1999,COTTUS_NOZAWAE,1,NA,hfish_HSGK,140.568,42.733,1,1
st00670,st00670-1999,1999,ONCORHYNCHUS_MASOU_MASOU,28,NA,hfish_HSGK,140.568,42.733,1,1
st00670,st00670-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,8,NA,hfish_HSGK,140.568,42.733,1,1
st00671,st00671-1999,1999,LETHENTERON_SPP,1,NA,hfish_HSGK,140.571,42.682,1,1
st00671,st00671-1999,1999,NOEMACHEILUS_BARBATULUS,4,NA,hfish_HSGK,140.571,42.682,1,1
st00671,st00671-1999,1999,ONCORHYNCHUS_MASOU_MASOU,16,NA,hfish_HSGK,140.571,42.682,1,1
st00671,st00671-1999,1999,ONCORHYNCHUS_MYKISS,8,NA,hfish_HSGK,140.571,42.682,1,1
st00671,st00671-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,3,NA,hfish_HSGK,140.571,42.682,1,1
st00672,st00672-1998,1998,COTTUS_NOZAWAE,1,NA,hfish_HSGK,140.572,42.682,3,1
st00672,st00672-1998,1998,LETHENTERON_SPP,32,NA,hfish_HSGK,140.572,42.682,3,1
st00672,st00672-1998,1998,NOEMACHEILUS_BARBATULUS,29,NA,hfish_HSGK,140.572,42.682,3,1
st00672,st00672-1998,1998,ONCORHYNCHUS_MASOU_MASOU,385,NA,hfish_HSGK,140.572,42.682,3,1
st00672,st00672-1998,1998,ONCORHYNCHUS_MYKISS,251,NA,hfish_HSGK,140.572,42.682,3,1
st00672,st00672-1998,1998,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,3,NA,hfish_HSGK,140.572,42.682,3,1
st00672,st00672-1998,1998,TRIBOLODON_SPP,9,NA,hfish_HSGK,140.572,42.682,3,1
st00673,st00673-1991,1991,COTTUS_NOZAWAE,1,NA,hfish_HSGK,140.573,42.681,1,1
st00673,st00673-1991,1991,PLECOGLOSSUS_ALTIVELIS_ALTIVELIS,9,NA,hfish_HSGK,140.573,42.681,1,1
st00673,st00673-1991,1991,TRIBOLODON_SPP,46,NA,hfish_HSGK,140.573,42.681,1,1
st00674,st00674-1999,1999,NOEMACHEILUS_BARBATULUS,2,NA,hfish_HSGK,140.573,42.744,1,1
st00674,st00674-1999,1999,ONCORHYNCHUS_MASOU_MASOU,46,NA,hfish_HSGK,140.573,42.744,1,1
st00674,st00674-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,2,NA,hfish_HSGK,140.573,42.744,1,1
st00675,st00675-1998,1998,ONCORHYNCHUS_KETA,12,NA,hfish_HSGK,140.573,42.813,3,1
st00675,st00675-1998,1998,ONCORHYNCHUS_MASOU_MASOU,72,NA,hfish_HSGK,140.573,42.813,3,1
st00675,st00675-1998,1998,ONCORHYNCHUS_MYKISS,5,NA,hfish_HSGK,140.573,42.813,3,1
st00675,st00675-1998,1998,PLECOGLOSSUS_ALTIVELIS_ALTIVELIS,41,NA,hfish_HSGK,140.573,42.813,3,1
st00675,st00675-1998,1998,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,30,NA,hfish_HSGK,140.573,42.813,3,1
st00675,st00675-1998,1998,TRIBOLODON_SPP,980,NA,hfish_HSGK,140.573,42.813,3,1
st00676,st00676-1998,1998,COTTUS_HANGIONGENSIS,11,NA,hfish_HSGK,140.573,42.814,3,1
st00676,st00676-1998,1998,GYMNOGOBIUS_UROTAENIA,36,NA,hfish_HSGK,140.573,42.814,3,1
st00676,st00676-1998,1998,LETHENTERON_SPP,3,NA,hfish_HSGK,140.573,42.814,3,1
st00676,st00676-1998,1998,NOEMACHEILUS_BARBATULUS,212,NA,hfish_HSGK,140.573,42.814,3,1
st00676,st00676-1998,1998,ONCORHYNCHUS_MASOU_MASOU,333,NA,hfish_HSGK,140.573,42.814,3,1
st00676,st00676-1998,1998,ONCORHYNCHUS_MYKISS,1,NA,hfish_HSGK,140.573,42.814,3,1
st00676,st00676-1998,1998,PLECOGLOSSUS_ALTIVELIS_ALTIVELIS,12,NA,hfish_HSGK,140.573,42.814,3,1
st00676,st00676-1998,1998,RHINOGOBIUS_SPP,3,NA,hfish_HSGK,140.573,42.814,3,1
st00676,st00676-1998,1998,TRIBOLODON_SPP,450,NA,hfish_HSGK,140.573,42.814,3,1
st00677,st00677-1992,1992,COTTUS_NOZAWAE,2,NA,hfish_HSGK,140.574,41.994,1,1
st00677,st00677-1992,1992,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,16,NA,hfish_HSGK,140.574,41.994,1,1
st00678,st00678-1988,1988,COTTUS_NOZAWAE,NA,NA,hfish_HSGK,140.574,43.17,1,1
st00678,st00678-1988,1988,NOEMACHEILUS_BARBATULUS,NA,NA,hfish_HSGK,140.574,43.17,1,1
st00678,st00678-1988,1988,ONCORHYNCHUS_MYKISS,NA,NA,hfish_HSGK,140.574,43.17,1,1
st00678,st00678-1988,1988,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,NA,NA,hfish_HSGK,140.574,43.17,1,1
st00679,st00679-2002,2002,LETHENTERON_SPP,5,NA,hfish_HSGK,140.575,42.68,1,1
st00679,st00679-2002,2002,NOEMACHEILUS_BARBATULUS,6,NA,hfish_HSGK,140.575,42.68,1,1
st00679,st00679-2002,2002,ONCORHYNCHUS_MASOU_MASOU,92,NA,hfish_HSGK,140.575,42.68,1,1
st00679,st00679-2002,2002,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,4,NA,hfish_HSGK,140.575,42.68,1,1
st00680,st00680-1999,1999,COTTUS_NOZAWAE,2,NA,hfish_HSGK,140.575,42.684,1,1
st00680,st00680-1999,1999,NOEMACHEILUS_BARBATULUS,1,NA,hfish_HSGK,140.575,42.684,1,1
st00680,st00680-1999,1999,ONCORHYNCHUS_MASOU_MASOU,13,NA,hfish_HSGK,140.575,42.684,1,1
st00680,st00680-1999,1999,ONCORHYNCHUS_MYKISS,1,NA,hfish_HSGK,140.575,42.684,1,1
st00680,st00680-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,10,NA,hfish_HSGK,140.575,42.684,1,1
st00681,st00681-1990,1990,ONCORHYNCHUS_MASOU_MASOU,5,NA,hfish_HSGK,140.575,42.812,1,1
st00681,st00681-1990,1990,TRIBOLODON_SPP,96,NA,hfish_HSGK,140.575,42.812,1,1
st00682,st00682-1988,1988,COTTUS_NOZAWAE,NA,NA,hfish_HSGK,140.575,43.171,1,1
st00682,st00682-1988,1988,NOEMACHEILUS_BARBATULUS,NA,NA,hfish_HSGK,140.575,43.171,1,1
st00682,st00682-1988,1988,ONCORHYNCHUS_MASOU_MASOU,NA,NA,hfish_HSGK,140.575,43.171,1,1
st00682,st00682-1988,1988,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,NA,NA,hfish_HSGK,140.575,43.171,1,1
st00683,st00683-1992,1992,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,5,NA,hfish_HSGK,140.579,41.998,1,1
st00684,st00684-1992,1992,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,13,NA,hfish_HSGK,140.58,41.995,1,1
st00685,st00685-1999,1999,NOEMACHEILUS_BARBATULUS,3,NA,hfish_HSGK,140.58,42.67,1,1
st00685,st00685-1999,1999,ONCORHYNCHUS_MASOU_MASOU,11,NA,hfish_HSGK,140.58,42.67,1,1
st00685,st00685-1999,1999,ONCORHYNCHUS_MYKISS,1,NA,hfish_HSGK,140.58,42.67,1,1
st00685,st00685-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,5,NA,hfish_HSGK,140.58,42.67,1,1
st00686,st00686-1999,1999,NOEMACHEILUS_BARBATULUS,8,NA,hfish_HSGK,140.581,42.743,1,1
st00686,st00686-1999,1999,ONCORHYNCHUS_MASOU_MASOU,38,NA,hfish_HSGK,140.581,42.743,1,1
st00687,st00687-1992,1992,ONCORHYNCHUS_MASOU_MASOU,53,NA,hfish_HSGK,140.581,42.744,1,1
